article_title,venue,article_link,cluster_id,support,support_fraction,models_present,actionable,impact,evidence,avg_confidence,centroid_confidence,SOUND,PRECISE,CATEGORY
Automatic Categorization with Deep Neural Network for Open-Source Java Projects,ICSE/ICSE 17/3.pdf,NOT FOUND,1,2,2/5,deepseek|mixtral,Use Deep Neural Network (DNN) for software categorization in open-source Java projects.,Achieves 15.9% - 36.4% higher accuracy compared to other ML approaches.,"Table I shows that DNN achieves 58.7% accuracy, while other ML models have lower accuracies: libSVM (42.8%), ADTree (37.5%), J.48 (22.3%), Naïve Bayes (30.7%), and Neural Network (40.4%).",0.9,0.95,YES,YES,Code Standards and Maintainability
Automatic Categorization with Deep Neural Network for Open-Source Java Projects,ICSE/ICSE 17/3.pdf,NOT FOUND,2,1,1/5,mixtral,"Expand studies to explore more features and variations of DNN, with different configurations and data sets for automated software categorization.",Can form high-level concepts from low-level code tokens and distinguish important features such as API calls and identifiers in order to support software categorization.,Section IV: 'Our preliminary result shows that DNN is a promising technique in automated software categorization. It is able to form high-level concepts from low-level code tokens and distinguish important features such as API calls and identifiers in order to support software categorization.',0.85,0.85,YES,NO,Automated Testing and Quality Assurance
8,ICSE/ICSE 17/8.pdf,NOT FOUND,1,3,3/5,deepseek|gpt|mixtral,Adopt the set of best practices for testers to avoid fragility in scripted test suites.,"Reduces the frequency of test failures caused by trivial UI changes, thereby lowering the maintenance effort required for test code.",The study found that 5-10% of developers’ effort (in terms of modifications of lines of code) is spent keeping test cases up to date due to fragility.,0.9125,0.95,YES,NO,Automated Testing and Quality Assurance
8,ICSE/ICSE 17/8.pdf,NOT FOUND,2,2,2/5,gpt|mixtral,Developers should track the motivations of each test class failure between subsequent releases to understand the rate of occurrence of fragilities and their influence on total coding effort.,Improved maintainability and reliability of test suites,"NO EVIDENCE FOUND, but tracking modifications performed to test classes and methods throughout their evolution is a recommended practice in the article",0.825,0.7,YES,NO,Automated Testing and Quality Assurance | Project Management and Governance
Dependency Facade: The Coupling and Conflicts between Android Framework and Its Customization,ICSE/ICSE 23/34.pdf,https://github.com/xjtu-enre/DepFCD,1,4,4/5,deepseek|gpt|mixtral|qwen|gemma,Monitor the changes in the dependency facade to maintain a cleaner design and reduce merge conflicts.,reducing potential merge conflicts,"Our study suggests that downstream projects should monitor the changes in the dependency facade and the violations of dependency constraints, thus helping mitigate potential merge conflicts.",0.9375,0.95,YES,YES,Code Standards and Maintainability
Dependency Facade: The Coupling and Conflicts between Android Framework and Its Customization,ICSE/ICSE 23/34.pdf,https://github.com/xjtu-enre/DepFCD,2,4,4/5,deepseek|gpt|mixtral|qwen|gemma,Detect dependency restriction violations during upstream and downstream evolution to address potential conflict risks earlier.,"Early detection of dependency constraint violations can help prevent merging conflicts, ensuring the smooth evolution of downstream projects.","The study found that non-SDK APIs became available in IndustrialX, which should have remained blocked according to upstream Android restrictions. This violation led to conflict risks and impacted the evolution of downstream projects.",0.9375,0.9,YES,YES,Code Standards and Maintainability | Project Management and Governance | CI/CD and DevOps Automation
MirrorTaint: Practical Non-intrusive Dynamic Taint Tracking for JVM-based Microservice Systems,ICSE/ICSE 23/46.pdf,"https://en.wikipedia.org/wiki/Microservices,",1,3,3/5,deepseek|mixtral|qwen,Adopt MirrorTaint for dynamic taint analysis in JVM-based microservice systems.,"MirrorTaint achieves better precision (97.9%) and recall (100.0%) compared to state-of-the-art tools, improving data flow tracking accuracy.","In evaluations, MirrorTaint outperformed Phosphor (precision 100.0%, recall 9.9%) and FlowDroid (precision 100.0%, recall 28.2%) on open-source microservices.",0.9167,0.95,YES,YES,Automated Testing and Quality Assurance | Security Best Practices and Legal Compliance
MirrorTaint: Practical Non-intrusive Dynamic Taint Tracking for JVM-based Microservice Systems,ICSE/ICSE 23/46.pdf,"https://en.wikipedia.org/wiki/Microservices,",2,1,1/5,mixtral,Use MirrorTaint for data relation exploration in industrial applications.,Significantly outperforms a mature developer-experience-based data checking system in Ant Group.,"MirrorTaint achieved 100.0% precision and 99.0% recall, while the developer-experience-based data checking system had 84.0% relation coverage.",0.95,0.95,YES,YES,Security Best Practices and Legal Compliance
14,FSE/FSE 22/14.pdf,https://doi.org/10.1145/3540250.3549110,1,3,3/5,deepseek|mixtral|qwen|gemma,Adopt Peahen for static deadlock detection in large-scale C/C++ projects.,"Reduces false positives by 73.45% compared to CBMC and 90% compared to Infer, while maintaining high scalability.",Peahen achieved a 136× speed-up over CBMC and detected all intentionally planted deadlocks in benchmarks with significantly fewer false positives.,0.8833,0.95,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
14,FSE/FSE 22/14.pdf,https://doi.org/10.1145/3540250.3549110,2,3,3/5,deepseek|mixtral|qwen,Implement a more precise pointer analysis in Peahen to prevent false positives caused by imprecise pointer alias relations.,"Reduction of false positives, leading to higher precision and reliability in detecting deadlocks.","Peahen generated 23 deadlock warnings with 7 false positives, resulting in a 30.43% false-positive rate.",0.8667,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,1,3,3/5,deepseek|mixtral|qwen,"Implement proactive parameter value checking and validation code early in the program execution phase (e.g., at startup) rather than adding it reactively after failures.","Prevents severe consequences like system failures, service unavailability, and unexpected results caused by misconfigurations.",74.6% (50/67) of commits that changed checking code occurred reactively after runtime failures; basic checks are sufficient to prevent many severe failures.,0.8833,0.85,YES,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,3,3,3/5,deepseek|mixtral|qwen,Use systematic testing and benchmarking to select new default values for configuration parameters.,Ensure default values are optimal and reduce misconfigurations.,Only 28.1% of default-value changes mentioned systematic testing; 31.3% chose values that worked around reported issues (Section IV-B).,0.8167,0.85,YES,YES,Automated Testing and Quality Assurance
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,6,3,3/5,deepseek|gpt|mixtral,Proactively generate checking code.,Prevent failures due to misconfigurations.,Checks for parameter values are often added as afterthoughts. Proactively generating checking code can help prevent failures due to misconfigurations.,0.8167,0.8,YES,NO,Automated Testing and Quality Assurance
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,2,3,3/5,deepseek|gpt|qwen,"Systematically augment configuration documentation with critical user-facing information, including concrete use cases, parameter constraints, dependencies, and guidance for setting values.",Reduces user confusion and helps operators set correct values by addressing inadequate or outdated documentation as a primary driver of document revisions.,Inadequate information was the most common reason for document changes (63/149); developers only provided concrete use-case descriptions for 37.9% (64/169) of parameterizations.,0.8,0.8,YES,YES,Documentation Practices
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,8,3,3/5,deepseek|gpt|mixtral,Enforce complete and up-to-date documentation of configuration information.,Mitigate changes driven by inadequate or outdated documentation.,Inadequate and outdated information are major reasons behind changes to enhance configuration documents (Section VI).,0.7833,0.8,YES,NO,Documentation Practices
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,4,2,2/5,deepseek|qwen,"Verify consistency across checking code, feedback messages, and usage semantics when reusing existing configuration parameters for new purposes or locations.","Prevents subtle inconsistencies that lead to bugs, user confusion, and incorrect behavior in the system.","Parameter reuse led to inconsistencies in 19.2% (29/151) of cases, manifesting as mismatched checks, default values, or use statements.",0.825,0.8,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,7,2,2/5,deepseek|mixtral,Implement techniques for generating misconfiguration correction code and improving existing handling code.,Can make code more robust in the presence of misconfigurations,"Developers want to make code more robust in the presence of misconfigurations, but their manual efforts are often ad hoc",0.8,0.85,YES,NO,Code Standards and Maintainability | CI/CD and DevOps Automation
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,9,2,2/5,deepseek|gpt,Parameterize constants into configuration parameters.,Proactively reduce misconfigurations.,142 commits that parameterize 169 constants.,0.8,0.8,YES,YES,Code Standards and Maintainability
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,5,2,2/5,deepseek|qwen,"Enhance configuration-related log and exception messages to include specific parameter names, erroneous values, and actionable guidance for fixing the misconfiguration.",Improves misconfiguration diagnosis and repair speed for users and operators who may lack debugging capabilities.,"Feedback message quality varied widely; only L4-level messages provided full guidance, and poor-quality feedback hinders user resolution of configuration errors.",0.775,0.75,YES,YES,Code Standards and Maintainability
**An Evolutionary Study of Configuration Design and Implementation in Cloud Systems**,ICSE/ICSE 21/10.pdf,https://github.,10,1,1/5,deepseek,Adopt configuration auto-tuning techniques that consider both reliability and functionality.,Proactively reduce misconfigurations by improving configuration design and implementation in cloud systems.,"Timing parameters are critical to both performance and reliability, but little work has been done on their auto-tuning (Section IV-A1).",0.9,0.9,YES,NO,CI/CD and DevOps Automation
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,6,4,4/5,deepseek|gpt|mixtral|qwen,Use batching APIs to process multiple text or audio inputs in parallel instead of invoking single-input APIs sequentially.,Improves performance through data parallelism with minimal impact on accuracy.,Chunking emails by paragraph and using AWS synchronous multi-file API provided a 1.5X speedup; similar chunking strategies apply to speech recognition.,0.875,0.85,YES,YES,Code Standards and Maintainability | CI/CD and DevOps Automation
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,1,3,3/5,deepseek|gpt|qwen,Replace asynchronous ML API calls with synchronous or streaming APIs when the application does not utilize concurrency.,"Achieves massive performance improvements, reducing latency significantly.",Profiling showed synchronous/streaming APIs are up to 400X faster than asynchronous ones for AWS Comprehend; replacing async calls in Jiang-Jung-Dian reduced execution time from 410 seconds to 0.97 seconds.,0.9333,0.95,YES,YES,Code Standards and Maintainability
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,8,3,3/5,deepseek|gpt|mixtral,Replace asynchronous ML API calls that are used synchronously with synchronous or streaming APIs when the input length is short to avoid performance loss.,Significantly reduces latency (up to 400× faster) and improves user experience.,Synchronous speech‑to‑text 8.9 s vs async 16.5 s; AWS Comprehend async 410 s vs synchronous 0.97 s; 203 of 246 apps used async synchronously.,0.9333,0.9,YES,YES,Code Standards and Maintainability
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,4,3,3/5,deepseek|gpt|qwen,"Implement input validation and transformation (e.g., format conversion, chunking) before invoking ML APIs to ensure compatibility.",Prevents software crashes caused by API exceptions due to incompatible input formats or sizes.,206 out of 360 benchmark applications lacked input validation; Automatic-Door would crash without checking image size limits (<5MB).,0.9167,0.9,YES,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,5,3,3/5,deepseek|gpt|qwen,Replace speech synthesis API calls with constant inputs using pre-recorded audio clips.,Eliminates unnecessary latency and reduces monetary costs associated with cloud API calls.,25% of benchmark apps used constant inputs; replacing calls in Sounds-Of-Runeterra saved 0.9 seconds and cost per invocation.,0.9167,0.9,YES,YES,Automated Testing and Quality Assurance
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,7,3,3/5,deepseek|mixtral|qwen,Developers should ensure they understand the probabilistic nature of sentiment detection APIs and how different data transformation and API selection can affect accuracy.,Improved accuracy in sentiment analysis results,"In a benchmark suite, 39% of applications using Google's NLP service misinterpreted the sentiment detection API output",0.9167,0.9,YES,NO,Automated Testing and Quality Assurance
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,3,3,3/5,deepseek|gpt|qwen,Down-sample images to 640x480 pixels before sending to vision APIs.,Improves performance without sacrificing accuracy.,"Accuracy saturates at 640x480, while higher resolutions degrade performance.",0.8667,0.95,YES,YES,Code Standards and Maintainability
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,9,3,3/5,deepseek|gpt|mixtral,Avoid making API calls with very small inputs due to round-up charging policies.,Reduces unnecessary costs associated with API usage.,A 60-second audio processed as one call cost $0.03 vs. $0.5 when split into small chunks.,0.8667,0.95,YES,YES,Code Standards and Maintainability | Project Management and Governance
Are Machine Learning Cloud APIs Used Correctly?,ICSE/ICSE 21/6.pdf,https://alert.cs.uchicago.edu/#release.,2,3,3/5,gpt|mixtral|qwen,Utilize task-parallelism APIs (such as annotate-image or annotate-text) to process multiple vision or NLP services on the same input simultaneously.,Provides easy parallelism and significant speedups without extra engineering effort.,Only 2 out of 20 benchmark apps used these APIs; refactoring Okuninushi to use annotate-image yielded a 2X speedup.,0.85,0.9,YES,YES,Code Standards and Maintainability
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,1,4,4/5,deepseek|gpt|mixtral|qwen,Augment existing automated REST API test suites with carved API tests derived from UI executions.,Significantly increases statement and branch code coverage of server-side APIs.,"Increases statement coverage by 52% (EvoMaster) and 29% (Schemathesis), and branch coverage by 99% and 75%, on average, across seven open-source web applications.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,2,4,4/5,deepseek|gpt|mixtral|qwen,Implement API probing in APICARV to expand the initial API graph and improve the accuracy of the inferred API specification.,"Increases precision and recall of inferred resource paths and operations, helping to detect potential inconsistencies between API implementations and specifications.","Table III shows precision, recall, and F1 scores for specification inference, with high precision (98%) and improved recall (56%) after probing. Table IV reveals operation inconsistencies detected by APICARV, which could be used to improve specifications.",0.9125,0.95,YES,YES,Automated Testing and Quality Assurance
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,3,3,3/5,deepseek|gpt|qwen,Use APICARV to automatically generate OpenAPI specifications from web application UI tests.,"The tool achieves high precision (98%) in inferring API specifications, which can be used for development and testing purposes.",APICARV's specification inference demonstrates 98% precision and 56% recall against ground truth OpenAPI specifications across seven open-source web applications.,0.9167,0.9,YES,YES,Automated Testing and Quality Assurance | Documentation Practices | CI/CD and DevOps Automation
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,4,2,2/5,gpt|qwen,Execute carved API tests instead of full UI test suites when targeting server-side code coverage to improve testing efficiency.,Maintains equivalent server-side code coverage while drastically reducing test execution time.,Carved API tests achieved identical coverage to UI tests but executed more than 10x faster on average (0.6 minutes vs. 7 minutes).,0.95,0.95,YES,YES,Automated Testing and Quality Assurance
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,5,1,1/5,gpt,"Run the probing stage of APICARV to discover additional API endpoints, thereby exercising 62.5 % more paths with only a 7.6 % increase in test‑execution time.",Higher path coverage with minimal time cost.,"Prober discovered 110 additional valid resource paths, exercising 62.5 % more paths with only 7.6 % increase in test‑execution time.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
38,ICSE/ICSE 23/38.pdf,https://spec.openapis.org/,6,1,1/5,gpt,"Leverage APICARV to generate API tests that cover endpoints requiring specific test data or dependencies on other endpoints, which automated API fuzzers may fail to produce.",Coverage of complex endpoints that fuzzers miss.,"Carved tests covered the /visits/{visitId} endpoint requiring a valid visitId and the /cart/add endpoint with dependencies, which EvoMaster and Schemathesis could not generate.",0.95,0.95,YES,YES,Automated Testing and Quality Assurance
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,1,3,3/5,deepseek|gpt|qwen,IDE creators should integrate automatic test-selection.,"Automatic test-selection reduces the number of tests executed, saving time and focusing on relevant tests.",87% of test executions contain only one test case.,0.8833,0.95,YES,YES,Automated Testing and Quality Assurance
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,3,3,3/5,deepseek|gpt|qwen,Integrate solutions from Internet fora like Stack Overflow into IDEs to reduce context switching during test failures.,Makes developers' workflow more efficient by reducing interruptions when troubleshooting failing tests.,"5 seconds after a test failure, ∼20% of programmers have already switched focus to another application on their computer.",0.8833,0.8,YES,YES,Automated Testing and Quality Assurance
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,2,3,3/5,deepseek|gpt|qwen,Improve IDE support for continuous integration servers to enable seamless remote test execution.,"Accommodates workflows where local tests are too heavy or impractical, aligning with developer preferences and reducing reliance on manual IDE testing.","Developers increasingly prefer pushing untested changes to Gerrit/CI servers over manual IDE testing due to performance constraints, yet current IDEs lack integrated support for this workflow.",0.85,0.9,YES,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,5,3,3/5,deepseek|gpt|mixtral,IDE creators should integrate reminders for developers to execute tests during large code changes.,"Reminders can encourage developers to run tests during large code changes, potentially catching bugs earlier.",Developers do not test as much as they believe they do.,0.8333,0.95,YES,YES,Automated Testing and Quality Assurance
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,4,2,2/5,gpt|mixtral,"Developers should be aware that they tend to overestimate their testing effort and do not follow test-driven development (TDD) by the book, which might lead to a lower-than-expected quality in their software.",Improved accuracy in estimating testing effort and increased adoption of TDD leading to better software quality.,Study results indicate that developers overestimate their testing effort twofold and only 12% of projects claiming to do TDD actually follow it. This discrepancy between beliefs about software testing and real-world observations may impact credibility in certain research methods.,0.925,0.9,YES,NO,Automated Testing and Quality Assurance
4,FSE/FSE 15/4.pdf,http://dx.doi.org/10.1145/2786805.2786843,6,2,2/5,deepseek|gpt,Software engineers should assess and adjust their perceived testing effort to match actual testing time.,Aligning perceived testing effort with actual effort can reduce misallocation of resources and improve software quality.,"Developers tested 25% of their time, but estimated 48% on tests, overestimating the real testing time two-fold.",0.925,0.95,YES,NO,Automated Testing and Quality Assurance
DotProject+: Open-source Software for Project Management Education,ICSE/ICSE 17/5.pdf,http://www.gqs.ufsc.br/evolution-of-dotproject/.,1,3,3/5,deepseek|gpt|mixtral,Adopt dotProject+ as the primary project management tool for teaching project initiation and planning aligned with the PMBOK.,"Easier to teach PM using dotProject+ than other tools, as it covers all relevant knowledge areas with a single tool.",Instructors stated that adopting dotProject+ made it easier to teach this competence requiring only one single tool to cover all relevant knowledge areas; students expressed being able to elaborate a project charter and a project plan addressing each knowledge area.,0.955,0.95,YES,YES,Project Management and Governance
9,ICSE/ICSE 17/9.pdf,https://www.researchgate.net/publication/318127064,1,2,2/5,deepseek|mixtral,Use Papyrus-RT for modeling and code generation of real-time embedded systems with UML-RT.,"Papyrus-RT provides fully synchronized graphical and textual editors, incremental code generation, customizable code patterns, and import capabilities of legacy models from proprietary tools.","The paper describes Papyrus-RT as an Eclipse-based, open-source modeling development environment for UML-RT systems that allows the generation of complete, executable code from models and advances the state-of-the-art via support for model representation with mixed graphical/textual notations and an extensible code generator.",0.925,0.95,YES,YES,Code Standards and Maintainability | Documentation Practices
Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,ICSE/ICSE 23/i23_15.pdf,https://creativecommons.org/licenses/by/4.0/,2,4,4/5,deepseek|gpt|mixtral|qwen|gemma,"Stop using the three experimental assumptions (Perfect Bug Understanding, Fix Location as Root Cause, Single Fault Location) when evaluating Automated Fault Localization techniques.",This will provide a more realistic assessment of debugger effectiveness and better support developer productivity.,"The study found that these assumptions inflate AFL effectiveness by up to 38% and make APR tools appear less effective. Developers prefer diagnoses without these assumptions, with 83% preferring the single fault location assumption removed.",0.925,0.95,YES,YES,Automated Testing and Quality Assurance
Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,ICSE/ICSE 23/i23_15.pdf,https://creativecommons.org/licenses/by/4.0/,1,3,3/5,gpt|mixtral|qwen|gemma,"Assess automated fault localization techniques without relying on the perfect bug understanding, fix location as root cause, or single fault location assumptions.",Obtain realistic effectiveness measures and prevent inflating debugger performance by up to 38%.,"Controlled experiments demonstrated that these assumptions inflate measured AFL effectiveness by an average of 13% and up to 38%, concealing the true difficulty of debugging.",0.95,0.95,YES,NO,Automated Testing and Quality Assurance
Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,ICSE/ICSE 23/i23_15.pdf,https://creativecommons.org/licenses/by/4.0/,3,3,3/5,gpt|mixtral|qwen|gemma,Generate debugging diagnoses that list all relevant faulty statements instead of isolating a single fix location or assuming perfect bug understanding.,Enhance developer productivity and debugger adoption by aligning tool outputs with practical debugging workflows.,"A user study with 76 professional developers showed that up to 83% prefer diagnoses without these assumptions, rating them as more useful and closer to their own perfect diagnoses.",0.9125,0.9,YES,YES,Automated Testing and Quality Assurance
Evaluating the Impact of Experimental Assumptions in Automated Fault Localization,ICSE/ICSE 23/i23_15.pdf,https://creativecommons.org/licenses/by/4.0/,4,2,2/5,gpt|mixtral|gemma,"Do not use the 'Fix Location' assumption when evaluating automated fault localization effectiveness, as it can inflate measured effectiveness by up to 36%.",More accurate evaluation of AFL techniques,Study with 46 open-source C programs and 19 AFL techniques found that the 'Fix Location' assumption inflated measured effectiveness by up to 36%.,0.925,0.95,YES,YES,Automated Testing and Quality Assurance
Recommending and Localizing Change Requests for Mobile Apps based on User Reviews,ICSE/ICSE 17/12.pdf,https://arxiv.org/abs/1410.4537,1,3,3/5,deepseek|mixtral|qwen,Use CHANGEADVISOR to analyze user reviews and extract useful feedback for maintenance purposes,Improves accuracy in clustering similar user change requests and identifying the code components impacted by suggested changes,"Quantitative study on 44,683 user reviews of 10 open source mobile apps showed a high accuracy (>+47% precision and >+38% recall) compared to a baseline approach",0.95,0.95,YES,YES,Community Collaboration and Engagement | Project Management and Governance
Recommending and Localizing Change Requests for Mobile Apps based on User Reviews,ICSE/ICSE 17/12.pdf,https://arxiv.org/abs/1410.4537,2,2,2/5,deepseek|qwen,Prioritize recommended code changes based on user request popularity (cluster size) in addition to textual similarity scores when using automated feedback localization tools.,Helps developers focus on high-demand features or bug fixes and better estimate the scope and complexity of required modifications.,"The authors suggest ordering links by cluster size to help developers 'quantify the number of classes to be modified' and immediately know 'to what extent a change is complicated to apply,' as confirmed by original app developers in the survey.",0.875,0.85,YES,YES,Code Standards and Maintainability | Community Collaboration and Engagement | Project Management and Governance
Recommending and Localizing Change Requests for Mobile Apps based on User Reviews,ICSE/ICSE 17/12.pdf,https://arxiv.org/abs/1410.4537,3,1,1/5,deepseek,Implement CHANGEADVISOR for efficient analysis of user reviews in mobile app development.,Reduces manual effort and improves developer productivity.,Developers reported that using such a tool would save almost all the time spent on manually analyzing user reviews.,0.9,0.9,YES,YES,Community Collaboration and Engagement | Project Management and Governance
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,ICSE/ICSE 23/47.pdf,https://sites.google.com/view/icse23remediation_,3,4,4/5,deepseek|gpt|mixtral|qwen,"Use CORAL for remediating vulnerabilities in Maven projects, as it fixes the most vulnerabilities (87.56%) among all tools and achieves the best assurance of compatibility (98.67% successful compilation rate and 92.96% successful unit test rate).",Improved vulnerability fixing and compatibility assurance in Maven projects.,Evaluation results comparing CORAL with state-of-the-art remediation tools regarding security and compatibility.,0.925,0.95,YES,YES,Automated Testing and Quality Assurance | Security Best Practices and Legal Compliance
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,ICSE/ICSE 23/47.pdf,https://sites.google.com/view/icse23remediation_,2,4,4/5,deepseek|gpt|mixtral|qwen,Use CORAL's dependency graph partitioning and backtracking mechanisms in your remediation strategy.,Reduces the number of failed projects and improves vulnerability fixing efficiency.,"CORAL achieved fewer project failures compared to other tools, demonstrating its effectiveness in handling complex dependencies.",0.8875,0.85,YES,YES,Code Standards and Maintainability
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,ICSE/ICSE 23/47.pdf,https://sites.google.com/view/icse23remediation_,1,4,4/5,deepseek|gpt|mixtral|qwen,Upgrade direct dependencies to non-major versions to fix vulnerabilities without breaking the project.,Fixes 25.71% of CVEs directly.,RQ3 reports 25.71% of CVEs can be fixed by upgrading direct dependencies.,0.8375,0.8,YES,YES,Code Standards and Maintainability | Security Best Practices and Legal Compliance
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,ICSE/ICSE 23/47.pdf,https://sites.google.com/view/icse23remediation_,4,2,2/5,gpt|qwen,Use static code-based compatibility checkers combined with reachability analysis to detect syntactic breaking and dependency conflicts before suggesting upgrades.,Ensures that remediation suggestions do not cause compilation failures or dependency resolution errors.,"CORAL detected syntactic breaking and DC issues, achieving a 98.67% successful compilation rate compared to lower rates in tools that lack this check.",0.875,0.9,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance | CI/CD and DevOps Automation
Compatible Remediation on Vulnerabilities from Third-Party Libraries for Java Projects,ICSE/ICSE 23/47.pdf,https://sites.google.com/view/icse23remediation_,5,1,1/5,gpt,Quantify the effort required to fix incompatibility issues to enable more thorough vulnerability remediation.,Allows more vulnerabilities to be fixed with minimized effort.,RQ3 notes that quantifying incompatibility efforts can enable more thorough fixes.,0.7,0.7,YES,YES,Security Best Practices and Legal Compliance
DUETCS: Code Style Transfer through Generation and Retrieval,ICSE/ICSE 23/45.pdf,https://github.com/LUH-DBS/Binger/tree/main/DuetCS,1,4,4/5,deepseek|gpt|mixtral|qwen,Integrate automated code style transfer tools into IDEs to allow programmers to review and accept stylization suggestions directly during development.,Facilitates project cooperation and maintenance by providing useful style inference assistance under programmer control.,The authors state that including the tool within an IDE so suggestions are under the programmer's control makes the results useful for users. (Conclusion),0.8875,0.85,YES,YES,Code Standards and Maintainability
DUETCS: Code Style Transfer through Generation and Retrieval,ICSE/ICSE 23/45.pdf,https://github.com/LUH-DBS/Binger/tree/main/DuetCS,2,2,2/5,gpt|qwen,Implement compilation checking as an optional pipeline layer to verify the grammar correctness of transferred code before acceptance.,"Guarantees that generated or retrieved code is compilable and functionally correct, reducing manual revision effort.",The article reports a 55.8% computational accuracy rate and explicitly suggests using compilation checking as an optional layer to guarantee grammar correctness. (Section VII-A),0.9,0.9,NO,YES,Automated Testing and Quality Assurance | CI/CD and DevOps Automation
DUETCS: Code Style Transfer through Generation and Retrieval,ICSE/ICSE 23/45.pdf,https://github.com/LUH-DBS/Binger/tree/main/DuetCS,3,2,2/5,gpt|qwen,Ensure that all code examples provided to define a target style are internally consistent before training or applying the transfer model.,"Prevents accuracy degradation caused by conflicting style signals, leading to more reliable style transfers.",Experiments show that accuracy drops after approximately 200 examples because adding more samples increases the chance of introducing style inconsistencies. (Section VII-D),0.825,0.85,YES,YES,Code Standards and Maintainability | Automated Testing and Quality Assurance
DUETCS: Code Style Transfer through Generation and Retrieval,ICSE/ICSE 23/45.pdf,https://github.com/LUH-DBS/Binger/tree/main/DuetCS,4,2,2/5,gpt|qwen,Use contributor identity or repository affiliation as automatic labels to group code by style in large-scale repositories instead of relying on manual labeling.,Simplifies the establishment of target styles for arbitrary codebases without requiring extensive human labeling efforts.,The authors suggest using 'contributor and repository as possible alternative labels' to handle Big Code datasets where manual labeling is difficult and noisy. (Section VII),0.75,0.8,YES,YES,Code Standards and Maintainability
